id;name;link;specialization;films_years;description;path_to_folder
33540;Мэри Бет МакДонаф;https://www.kinopoisk.ru/name/249070;Актриса,Сценарист,Режиссер;63, 1963 — 2023;Скорая помощь,Юристы Бостона,Притворщик,Западное крыло,Элли МакБил;actors_usa/33540
50;Алан Дж. Пакула;https://www.kinopoisk.ru/name/74389;Продюсер,Режиссер,Сценарист;35, 1957 — 2020;Убить пересмешника,Выбор Софи,Вся президентская рать,Презумпция невиновности,Бесплодная кукушка;actors_usa/50
52407;Изабель Роуз;https://www.kinopoisk.ru/name/101696;Актриса,Продюсер,Сценарист;4, 1994 — 2008;Форрест Гамп;actors_usa/52407
22701;Мицуо Пек;https://www.kinopoisk.ru/name/374305;Актриса;20, 2000 — 2022;Ночь в музее,Закон и порядок. Преступное намерение;actors_usa/22701
20162;Гаррет Моррис;https://www.kinopoisk.ru/name/1953;Актер,Сценарист;153, 1963 — 2022;Человек-муравей,Две девицы на мели,Мадам Си Джей Уокер,Бесстыжие,Saturday Night Live,Это мы;actors_usa/20162
4886;Рон Перлман;https://www.kinopoisk.ru/name/6469;Актер,Продюсер,Режиссер,Сценарист;310, 1968 — 2024;Битва за огонь,Пока я не исчезну,Город потерянных детей,Хеллбой II: Золотая армия,Хеллбой: Герой из пекла,Сыны анархии,Захват,Стартап,Покерфейс,Десница Божья;actors_usa/4886
30684;София Карсон;https://www.kinopoisk.ru/name/3565606;Актриса,Композитор,Сценарист,Продюсер;84, 2011 — 2024;Пурпурные сердца,Тини: Новая жизнь Виолетты,Остин и Элли,Я Луна,Фальсификация,Человек-паук;actors_usa/30684
9954;Закари Ливай;https://www.kinopoisk.ru/name/725316;Актер,Режиссер,Сценарист,Продюсер;150, 1999 — 2025;Мавританец,Американский неудачник,Помни воскресенье,Тор: Рагнарёк,Аполлон-10½: Приключение космического века,Чак,Клава, давай!,Она же Грэйс,Удивительная миссис Мейзел,Гриффины;actors_usa/9954
41198;Итэн Эмбри;https://www.kinopoisk.ru/name/11804;Актер,Продюсер,Оператор;116, 1984 — 2023;Он сведет меня с ума,То, что ты делаешь,Белый шквал,На крючке,Человек на Луне,Посредник Кейт,Грейс и Фрэнки,Доктор Хаус,Анатомия страсти,Ходячие мертвецы;actors_usa/41198
12484;Angel DeLuca;https://www.kinopoisk.ru/name/4532408;;1, 2014 — 2014;;actors_usa/12484
2512;Кайли Андерсон;https://www.kinopoisk.ru/name/1577220;Актриса;2, 2008 — 2012;;actors_usa/2512
14938;Крис Клейн;https://www.kinopoisk.ru/name/293;Актер,Продюсер;75, 1995 — 2020;Мы были солдатами,Правда пацана,Американский пирог,Американский пирог: Все в сборе,Американский пирог 2,Уилфред,Хорошие парни,Воспитывая Хоуп,Флэш,Компаньоны;actors_usa/14938
44755;Марне Паттерсон;https://www.kinopoisk.ru/name/89046;Актриса,Продюсер;61, 1983 — 2020;Снайпер,Доктор Хаус,Сверхъестественное,Менталист,Шоу 70−х,C.S.I. Место преступления;actors_usa/44755
48599;Натаниэл Картер;https://www.kinopoisk.ru/name/1509621;Актер;1, 2008 — 2011;;actors_usa/48599
17567;Бриджет Риган;https://www.kinopoisk.ru/name/1132423;Актриса;51, 1987 — 2023;Легенда об Искателе,Агент Картер,Новичок,Анатомия страсти,Сыны анархии;actors_usa/17567
27902;Генри Томас;https://www.kinopoisk.ru/name/2704;Актер;101, 1981 — 2023;Легенды осени,Инопланетянин,Вердикт: Суд над МакМартинами,11:14,Дорогой Джон,Призрак дома на холме,Падение дома Ашеров,Призраки усадьбы Блай,Измена,Моби Дик;actors_usa/27902
25430;Райан Бертрош;https://www.kinopoisk.ru/name/1663060;Актер,Режиссер,Сценарист,Продюсер;21, 2009 — 2022;Эйфория,С любовью, Виктор;actors_usa/25430
33550;Джо Николс;https://www.kinopoisk.ru/name/1285223;Актер;21, 2009 — 2022;;actors_usa/33550
7490;Ноа Сеган;https://www.kinopoisk.ru/name/226905;Актер,Продюсер,Режиссер,Сценарист;71, 1983 — 2023;Петля времени,Достать ножи,Доктор Хаус,Чикаго в огне,Морская полиция: Спецотдел,C.S.I. Место преступления,Покерфейс;actors_usa/7490
56348;Брендан Вентуорф;https://www.kinopoisk.ru/name/1128597;Актер,Режиссер;11, 1993 — 2021;Парень познает мир,Дарма и Грег;actors_usa/56348
37406;Джейми Герц;https://www.kinopoisk.ru/name/21658;Актриса,Продюсер;83, 1978 — 2022;Перекрёсток,Смерч,Меньше нуля,А ей ни слова обо мне,Лучшая жизнь,Непослушные родители,Это мы,Американская семейка,Красавцы,Скорая помощь;actors_usa/37406
52411;Николь Блум;https://www.kinopoisk.ru/name/2216600;Актриса,Сценарист,Режиссер,Продюсер;30, 2001 — 2023;Проект X: Дорвались,Бесстыжие,Анатомия страсти,Оборотень,Призраки,Где Уолли?;actors_usa/52411
22704;Джонта Остин;https://www.kinopoisk.ru/name/1229337;Композитор,Актер,Продюсер;21, 1988 — 2021;;actors_usa/22704
20166;Митчелл Джарвис;https://www.kinopoisk.ru/name/888470;Актер,Продюсер,Режиссер,Сценарист,Оператор,Монтажер;14, 1993 — 2017;Закон и порядок. Специальный корпус,Поздняя ночь с Конаном О’Брайеном;actors_usa/20166
55;Джонни Депп;https://www.kinopoisk.ru/name/6245;Актер,Продюсер,Режиссер,Сценарист;304, 1983 — 2024;Пираты Карибского моря: Проклятие Черной жемчужины,Пираты Карибского моря: Сундук мертвеца,Пираты Карибского моря: На краю света,Эдвард руки-ножницы,Кокаин,Джамп стрит, 21,Викарий из Дибли,Жизнь так коротка,Отель,Гриффины;actors_usa/55
30690;Деннис Родман;https://www.kinopoisk.ru/name/9310;Актер,Сценарист,Продюсер;117, 1989 — 2022;Солдаты удачи,Лас Вегас,Третья планета от Солнца,Симпсоны;actors_usa/30690
9958;Флориана Лима;https://www.kinopoisk.ru/name/1473575;Актриса;29, 2000 — 2024;Каратель,Семья,Доктор Хаус,Как я встретил вашу маму,Миллион мелочей;actors_usa/9958
4896;Грэйс Виктория Кокс;https://www.kinopoisk.ru/name/3565782;Актриса;17, 2013 — 2021;Триумф,Твин Пикс,Медики Чикаго,Частный детектив Магнум;actors_usa/4896
